,text,page_number
495,Figure 2.2 Cas de base et variantes de trajectoires de la consommation intérieure d’électricité corrigée de l’aléa météorologique dans le Bilan prévisionnel 2019 – France continentale hors enrichissement d’uranium,24
496,variantes encadrantes sont également étudiées afin d’évaluer la sensibilité des résultats en matière de sécurité d’approvisionnement à l’évolution de la consommation.,24
499,"De fait, la notion de « pointe de consommation », souvent utilisée, peut prêter à confusion si elle n’est pas explicitée car elle peut recouvrir des réalités physiques bien diffé rentes, selon que l’on évoque la pointe infrajournalière ou la pointe hivernale.",24
500,"La consommation d’électricité fluctue au cours du temps, en fonction des besoins des utilisateurs. Ceux-ci sont largement dictés par le rythme des activités économiques et domestiques et le cycle des saisons : la consommation est plus élevée le jour que la nuit, en jours ouvrés qu’en week-end, en hiver qu’en été.",24
531,"Le profil journalier de consommation diffère sensiblement selon la saison. Ainsi, la Figure 2.3 représente les variations de la consommation d’électricité sur un jour ouvré type de janvier et de juin, décomposée par grands secteurs de consommation.",25
532,"Les courbes de charge en jours ouvrés présentent des différences notables, tant en forme qu’en niveau. Elles possèdent néanmoins quelques caractères communs :",25
534,"de nuit (vers 4 ou 5 heures du matin), période où les consommations émanent essentiellement des procédés industriels à feu continu, de l’éclairage public, des appareils de froid, des veilles des appareils électroniques et, en hiver, du chauffage ;",25
537,"5. Les températures de référence sont établies par Météo-France. Basées sur les températures horaires moyennes observées pour chaque jour de l’année au cours des trois dernières décennies, elles sont redressées de la dérive climatique pour être représentatives du climat de la décennie en cours.",25
538,"les transports ferroviaires et dans les établissements industriels (industrie légère travaillant à un ou deux postes par jour sur cinq jours par semaine) et tertiaires (commerces et bureaux notamment), conduisant à la formation d’un « plateau du matin » ;",25
539,"u une lente diminution à partir de 13 h, suivie d’un rebond en fin d’après-midi, où se conjuguent activité de fin de journée dans les bureaux, reprise de la consommation résidentielle, et pic d’activité des transports en commun.",25
542,"u à des consommations additionnelles d’éclairage, qui sont à l’origine des écarts de forme : combinée avec une charge de même ampleur liée à la cuisson résidentielle, l’apparition d’une charge supplémentaire de l’ordre de 4 GW à la tombée de la nuit provoque une pointe à 19 h au cœur",25
547,2h 4h 6h 8h 10h 12h 14h 16h 18h 20h 22h 24h 2h 4h 6h 8h 10h 12h 14h 16h 18h 20h 22h 24h,25
576,"de l’hiver, un peu plus tardive et moins haute en demi-saison et en été ; symétriquement, le matin, l’éclairage induit en décembre et janvier un supplément de consommation qui positionne la pointe du matin vers 9 h. Avec de moindres besoins d’éclairage, cette pointe tend à se décaler vers midi au fur et à mesure que le jour se lève plus tôt.",26
577,"Afin de limiter la sollicitation de moyens de production plus coûteux aux moments des pointes journalières de consommation, de nombreux dispositifs ont été mis en place. Ainsi, la tarification heures pleines/heures creuses permet de lisser la courbe de charge journalière en reportant une partie de la charge, notamment celle liée à la chauffe des ballons d’eau chaude sanitaire, durant les heures les moins chargées de la nuit.",26
578,Le déploiement de compteurs communicants pourrait à terme permettre d’affiner cette gestion de la charge au travers de plages tarifaires diversifiées et évolutives dans l’année (par exemple : heures creuses méridiennes en été pour profiter d’une production photovoltaïque abondante).,26
580,"La consommation d’électricité est également influencée par d’autres facteurs nettement moins répétitifs et prévisibles que les cycles journaliers, hebdomadaires ou saisonniers : il s’agit essentiellement de facteurs météorologiques, tels que la nébulosité (jouant sur l’éclairage), les températures extérieures en été (via la climatisation), et, surtout, les températures extérieures en hiver (via le chauffage électrique, largement répandu en France puisqu’il équipe près de 40 % du parc de logements).",26
581,"La forte thermosensibilité du système électrique français induite par le chauffage électrique se traduit par une augmentation de la consommation d’électricité lorsque la température diminue en hiver : lors d’une vague de froid intense, les besoins de chauffe peuvent être beaucoup plus importants et contribuer à une augmentation significative de la puissance appelée.",26
582,"À titre d’illustration (cf. Figure 2.5), le pic historique de consommation a été enregistré le 8 février 2012 lors de la pointe du soir. Le creux de nuit du",26
585,2h 4h 6h 8h 10h 12h 14h 16h 18h 20h 22h 24h 2h 4h 6h 8h 10h 12h 14h 16h 18h 20h 22h 24h,26
608,"8 février 2012 est également remarquable puisqu’il a atteint le même niveau de consommation que le matin de la semaine précédente, et était bien supérieur à la pointe du soir de la semaine encore antérieure.",27
609,"Globalement, il convient de noter que la forme du profil journalier d’appel de puissance est peu affectée lors d’une vague de froid, c’est essentiellement le niveau moyen de la demande qui peut être",27
629,"fortement accru. La Figure 2.6 l’illustre, en représentant les appels de puissance d’un jour ouvré d’hiver, modélisés à températures de référence d’une part, et avec les températures du 8 février 2012 d’autre part.",27
630,"La Figure 2.7 permet de visualiser le poids respectifs des grands secteurs/usages sur les heures les plus chargées (entre 8 h et 22 h) d’une journée ouvrée d’hiver, à températures de référence et avec",27
638,2h 4h 6h 8h 10h 12h 14h 16h 18h 20h 22h 24h 2h 4h 6h 8h 10h 12h 14h 16h 18h 20h 22h 24h,27
666,le climat du 8 février 2012 : la puissance appelée par le chauffage peut croître fortement (de près de 20 GW) lors de vague de froids sévères par rapport au niveau appelé à températures de référence.,28
667,Cette variabilité peut être illustrée par les simulations réalisées par RTE sur la base de 200 chroniques climatiques6 : la consommation thermosensible est,28
705,"comprise entre 10 GW et 30 GW pour 80 % des chroniques journalières (cf. Figure 2.8). Pour 10 % des chroniques, la consommation thermosensible peut même être doublée par rapport à sa valeur en espérance et atteindre 45 GW. Ainsi, pendant une vague de froid extrême, plus de 40 % des appels de puissance électrique peuvent être liés au seul chauffage.",28
707,"Les conditions climatiques pouvant différer fortement d’une année sur l’autre, les appels de puissance annuels maximaux présentent donc également une variabilité importante, comme l’illustre la Figure 2.9, qui représente le profil des puissances appelées au cours de la journée la plus chargée des dix années écoulées. On peut constater les écarts importants qui apparaissent selon les années : la plus ou moins grande sévérité des vagues de froid hivernales peut se traduire par des écarts d’une vingtaine de gigawatts. Ainsi, l’heure la plus chargée de l’année 2014 a généré un appel de puissance inférieur à celui du creux de nuit du 8 février 2012.",29
708,"Les occurrences de consommation maximale en puissance résultent de la combinaison des variations structurelles périodiques et de celles, aléatoires, liées aux facteurs météorologiques. Ainsi, en période hivernale, l’heure la plus chargée de la",29
710,"journée étant généralement 19 heures, la notion de « pic hivernal » est fréquemment associée à celle de « pointe à 19 h ».",29
711,"Or, la problématique des vagues de froid, du point de vue de l’équilibre du système électrique et de la sécurité d’approvisionnement, est avant tout celle du niveau moyen particulièrement élevé des appels de puissance sur une période de plusieurs heures (voire plusieurs jours) que celle du seul passage de la pointe journalière (voir partie sur les leviers). Les simulations montrent que des effacements courts d’une ou deux heures centrés sur 19 h en hiver ne contribueraient que modestement à réduire les risques de défaillance.",29
730,"Afin d’assurer le respect des objectifs publics de sécurité d’approvisionnement, la France a mis en place un mécanisme de capacité qui instaure une obligation de capacité pour les « acteurs obligés » (fournisseurs, consommateurs ou gestionnaires de réseau pour leurs pertes lorsqu’ils ne s’approvisionnent pas auprès d’un fournisseur). Ces acteurs doivent disposer de garanties de capacités à hauteur du niveau de leur obligation, qui reflète la consommation de leur portefeuille de clients dans une situation définie de vague de froid). Afin de donner le maximum de visibilité aux acteurs de marché et de permettre un fonctionnement optimal du mécanisme de capacité, au",30
731,"service de la sécurité d’approvisionnement, RTE publie régulièrement une estimation de l’obligation de capacité totale pour la France, sur la base des dernières trajectoires d’évolution de la consommation. Les estimations de l’obligation de capacité totale pour la France publiées ci- dessous correspondent aux différentes trajectoires d’évolution de la consommation. Pour précision, ces chiffres ne prennent pas en compte les actions de maitrise de la consommation à la pointe (notamment effacement tarifaires). La puissance de référence publiée ci-dessous est donc brute des éventuelles actions de maitrise de la consommation à la pointe mises en place par les consommateurs et les fournisseurs.",30
744,"Les ambitions affichées dans le projet de PPE8 visent essentiellement la pérennisation du productible hydraulique, aucune nouvelle installation de grande ampleur n’étant envisagée.",33
749,"u une trajectoire médiane basée sur un rythme de développement supérieur au rythme moyen historique mais insuffisant à la réalisation des objectifs du projet de PPE en fin d’horizon, permettant d’atteindre 25,7 GW fin 2023 puis 26,2 GW fin 2028 (+20 MW/an puis +80 MW/an sur la deuxième partie de la PPE) ;",33
752,"L’énergie hydraulique représente aujourd’hui la principale forme d’énergie renouvelable. L’essentiel du parc hydraulique a été construit avant la fin des années 1980. Depuis, les travaux portent principalement sur des modernisations d’équipements ou l’installation de petites unités de quelques mégawatts.",33
753,"Avec environ 25,5 GW de puissance de turbinage installée au 31 décembre 2018 (STEP7 incluses), le potentiel de production hydraulique est considéré comme étant exploité au plus proche de son maximum : la puissance installée progresse peu (de l’ordre d’une dizaine de mégawatts par an sur les cinq dernières années, en dehors du suréquipement récent de la STEP de la Coche).",33
755,"8. La PPE fixe les objectifs de 25,7 GW fin 2023 et entre 26,4 et 26,7 GW fin 2028 soit une hausse de 40 MW par an jusqu’en 2023 puis de 160 MW par an sur la deuxième partie de la PPE",33
759,"u une trajectoire haute basée sur l’atteinte des objectifs du projet de PPE, permettant d’atteindre 25,7 GW fin 2023 et 26,5 GW fin 20289 (+40 MW/an puis +160 MW/an sur la deuxième partie de la PPE).",34
760,"Dans la continuité du Bilan prévisionnel précédent, la trajectoire médiane est retenue dans le cas de base ; les deux autres trajectoires sont utilisées en variantes.",34
763,"La progression de la filière éolienne terrestre connait une évolution contrastée depuis dix ans. En effet, après une accélération de son développement entre 2006 et 2010 suite aux travaux sur le Grenelle de l’environnement, la filière a fait face à de fortes difficultés de développement entre 2010 et 2013, notamment en raison de rigidités dans le cadre législatif et réglementaire.",34
764,"Après une reprise amorcée en 2014, le développement de l’éolien en France a connu une dynamique positive. En 2017, le rythme de développement de la filière a même dépassé le rythme nécessaire à l’atteinte des objectifs PPE adoptés en 2016, avec un record d’installation de 1,8 GW supplémentaire raccordé. Ce rythme s’est confirmé en 2018 avec 1,6 GW raccordé, le parc installé atteignant 15,1 GW au 31 décembre 2018, dépassant l’objectif fixé par la précédente PPE à cet horizon.",34
765,"Suite aux travaux du groupe de travail « éolien » lancés fin 2017 par le précédent secrétaire d’État, Sébastien Lecornu, plusieurs mesures visant à simplifier et à favoriser le développement de l’éolien terrestre ont été mises en place : suppression d’un degré de juridiction permettant de réduire les délais de traitement des contentieux, révision de la répartition de l’imposition forfaitaire sur les entreprises de réseau, etc.",34
766,"Fin 2019, la Ministre de la Transition écologique et solidaire a de nouveau réuni ce groupe de travail et a annoncé de nouvelles mesures visant favoriser un développement harmonieux de l’éolien, en traitant notamment des problématiques de répartition territoriale, de démantèlement et d’insertion paysagère des éoliennes.",34
768,"Dans ce contexte, le nouveau projet de PPE confirme les objectifs ambitieux de développement de la filière avec une cible affichée de 24,6 GW de capacités installées fin 2023, en cohérence avec la précédente PPE (entre 21,8 et 26 GW). L’atteinte de cet objectif nécessite néanmoins d’accélérer le rythme de développement annuel pour atteindre un rythme d’installation moyen de 1,9 GW par an, supérieur au record d’installation atteint en 2017.",34
