,section_title,text,file,processed_text
10,Limites de courant et tension admissibles,"Les ouvrages électriques de la zone d'étude sont constitués de liaisons (aériennes, souterraines, aéro-souterraines), de transformateurs de puissance, éventuellement de dispositifs de régulation de transit (transformateurs déphaseurs, capacités série, impédances série...) avec tous leurs matériels associés (alimentation, mesure, contrôle commande...), qui forment un réseau maillé dont les noeuds sont les postes.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Limites de courant et tension admissibles
Les ouvrages électriques de la zone d'étude sont constitués de liaisons (aériennes, souterraines, aéro-souterraines), de transformateurs de puissance, éventuellement de dispositifs de régulation de transit (transformateurs déphaseurs, capacités série, impédances série...) avec tous leurs matériels associés (alimentation, mesure, contrôle commande...), qui forment un réseau maillé dont les noeuds sont les postes."
11,Limites de courant et tension admissibles,"Les transits d'énergie, ou de puissance, vont des postes ""producteurs"" vers les noeuds ""consommateurs"" en empruntant le ""chemin le plus court"" du réseau, c'est à dire le moins impédant, suivant les lois électrotechniques liant les courants et les tensions.
Le système électrique étant soumis à des fluctuations permanentes (prévues et imprévues...), les courants et tensions doivent rester dans des limites prescrites.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Limites de courant et tension admissibles
Les transits d'énergie, ou de puissance, vont des postes ""producteurs"" vers les noeuds ""consommateurs"" en empruntant le ""chemin le plus court"" du réseau, c'est à dire le moins impédant, suivant les lois électrotechniques liant les courants et les tensions.
Le système électrique étant soumis à des fluctuations permanentes (prévues et imprévues...), les courants et tensions doivent rester dans des limites prescrites."
12,Capacités de transit de courant dans les liaisons et transformateurs,"Les ouvrages traversés par des transits de courant s'échauffent (effet Joule dans les lignes et enroulement des transformateurs, pertes fer dans les transformateurs), ce qui peut entrainer la dégradation du matériel (isolant ou structure) et sortir des distances réglementaires (allongement des conducteurs des lignes aériennes).",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
Les ouvrages traversés par des transits de courant s'échauffent (effet Joule dans les lignes et enroulement des transformateurs, pertes fer dans les transformateurs), ce qui peut entrainer la dégradation du matériel (isolant ou structure) et sortir des distances réglementaires (allongement des conducteurs des lignes aériennes)."
13,Capacités de transit de courant dans les liaisons et transformateurs,"La capacité de transit de courant dans un ouvrage est l'_Intensité de Secours Temporaire_ (IST) du courant pouvant le traverser avant qu'il ne passe en contrainte. Ces valeurs dépendent de la température de répartition (donnée constructive), du régime climatique et saisonnier considéré (été, intersaison, hivers), et de la durée maximale pendant laquelle peut durer le phénomène.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
La capacité de transit de courant dans un ouvrage est l'_Intensité de Secours Temporaire_ (IST) du courant pouvant le traverser avant qu'il ne passe en contrainte. Ces valeurs dépendent de la température de répartition (donnée constructive), du régime climatique et saisonnier considéré (été, intersaison, hivers), et de la durée maximale pendant laquelle peut durer le phénomène."
14,Capacités de transit de courant dans les liaisons et transformateurs,Il est possible de se référer aux articles suivants pour connaitre la définition des seuils de transits des ouvrages :,DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
Il est possible de se référer aux articles suivants pour connaitre la définition des seuils de transits des ouvrages :"
15,Capacités de transit de courant dans les liaisons et transformateurs,"* [Les lignes aériennes](&A82)
* [Les liaisons souterraines](&A83)
* [Les transformateurs](&A87)",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
* [Les lignes aériennes](&A82)
* [Les liaisons souterraines](&A83)
* [Les transformateurs](&A87)"
16,Capacités de transit de courant dans les liaisons et transformateurs,"Dans la note d'étude, on mentionnera donc :",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
Dans la note d'étude, on mentionnera donc :"
17,Capacités de transit de courant dans les liaisons et transformateurs,"* les éventuels ouvrages limités par des contraintes d'exploitation (température d'exploitation) ou par du matériel associé (transformateur de courant...),
* un état exhaustif (par exemple en annexe sous forme de carte et/ou tableaux) des capacités de tous les ouvrages de la zone étudiée : 
	* IST été/intersaison/hiver (en A)
	* température de répartition (en °C)",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
* les éventuels ouvrages limités par des contraintes d'exploitation (température d'exploitation) ou par du matériel associé (transformateur de courant...),
* un état exhaustif (par exemple en annexe sous forme de carte et/ou tableaux) des capacités de tous les ouvrages de la zone étudiée : 
	* IST été/intersaison/hiver (en A)
	* température de répartition (en °C)"
18,Capacités de transit de courant dans les liaisons et transformateurs,"> Remarque :
On peut aussi y rassembler les autres caractéristiques principales de l'ouvrage : date de construction, longueur, nature et section pour les liaisons.
Pour les autres seuils de détection (notamment les IT : Intensité Transitoire) en développement, on se réferera [à l'article sur les contraintes thermiques](&A9).",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de transit de courant dans les liaisons et transformateurs
> Remarque :
On peut aussi y rassembler les autres caractéristiques principales de l'ouvrage : date de construction, longueur, nature et section pour les liaisons.
Pour les autres seuils de détection (notamment les IT : Intensité Transitoire) en développement, on se réferera [à l'article sur les contraintes thermiques](&A9)."
19,Capacités de tenue de tension,On différencie :,DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue de tension
On différencie :"
20,Capacités de tenue de tension,"* Tensions hautes :
	* les ouvrages présentent une limite de tension imposée par la tenue des matériels des postes ou leur domaine de fonctionnement correct.
* Tensions basses :
	* La limite provient de contraintes de sécurité pour le réseau (risque d'effondrement sur incident) et du respect de nos engagements contractuels avec les clients consommateurs ou producteurs.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue de tension
* Tensions hautes :
	* les ouvrages présentent une limite de tension imposée par la tenue des matériels des postes ou leur domaine de fonctionnement correct.
* Tensions basses :
	* La limite provient de contraintes de sécurité pour le réseau (risque d'effondrement sur incident) et du respect de nos engagements contractuels avec les clients consommateurs ou producteurs."
21,Capacités de tenue de tension,Les seuils à respecter pour chaque niveau de tension et les situations à étudier sont décrits [dans l'article relatif aux contraintes de tension](&A5).,DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue de tension
Les seuils à respecter pour chaque niveau de tension et les situations à étudier sont décrits [dans l'article relatif aux contraintes de tension](&A5)."
22,Capacités de tenue aux courants de court-circuit,"Les contraintes précédentes étaient liées aux fluctuations lentes du système électrique (quelques secondes à quelques minutes). En cas de court-circuit en un point du réseau (contournement de l'isolateur conduisant à un contact entre conducteurs à des potentiels différents), le courant de court-circuit (Icc) dépasse largement ces plages de fonctionnement nominales. Il importe de l'éliminer le plus rapidement possible avant que ses effets directs et indirects (thermiques, électrodynamiques, induction et montée de potentiel) ne détruisent le matériel et les structures.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue aux courants de court-circuit
Les contraintes précédentes étaient liées aux fluctuations lentes du système électrique (quelques secondes à quelques minutes). En cas de court-circuit en un point du réseau (contournement de l'isolateur conduisant à un contact entre conducteurs à des potentiels différents), le courant de court-circuit (Icc) dépasse largement ces plages de fonctionnement nominales. Il importe de l'éliminer le plus rapidement possible avant que ses effets directs et indirects (thermiques, électrodynamiques, induction et montée de potentiel) ne détruisent le matériel et les structures."
23,Capacités de tenue aux courants de court-circuit,"[L'article relatif aux contraintes de courants de court-circuit](&A7) fournit les informations et la méthode de calcul des courants de court-circuit pour respecter les limites hautes (IccMax et PccMax), mais aussi basses (IccMin et PccMin) car une faible Pcc a des conséquences négatives en terme de tenue de tension, de fonctionnement des protections, et de qualité de service.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue aux courants de court-circuit
[L'article relatif aux contraintes de courants de court-circuit](&A7) fournit les informations et la méthode de calcul des courants de court-circuit pour respecter les limites hautes (IccMax et PccMax), mais aussi basses (IccMin et PccMin) car une faible Pcc a des conséquences négatives en terme de tenue de tension, de fonctionnement des protections, et de qualité de service."
24,Capacités de tenue aux courants de court-circuit,Les seuils de valeur minimale de Pcc (PccMin) sont fixés par niveau de tension.,DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue aux courants de court-circuit
Les seuils de valeur minimale de Pcc (PccMin) sont fixés par niveau de tension."
25,Capacités de tenue aux courants de court-circuit,Des paliers techniques d'IccMax existent pour les différents niveaux de tension des postes.,DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue aux courants de court-circuit
Des paliers techniques d'IccMax existent pour les différents niveaux de tension des postes."
26,Capacités de tenue aux courants de court-circuit,"Dans la note d'étude, on fournira donc :",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue aux courants de court-circuit
Dans la note d'étude, on fournira donc :"
27,Capacités de tenue aux courants de court-circuit,"* les éventuels postes limités par des contraintes d'exploitation ou par du matériel associé
* un état exhaustif (par exemple en annexe sous forme de carte et/ou tableaux) des IccMax (en A) des postes de la zone étudiée",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Capacités de tenue aux courants de court-circuit
* les éventuels postes limités par des contraintes d'exploitation ou par du matériel associé
* un état exhaustif (par exemple en annexe sous forme de carte et/ou tableaux) des IccMax (en A) des postes de la zone étudiée"
28,Dispositifs de régulation de transit,"Plusieurs dispositifs permettent de réguler les flux de puissance dans un réseau maillé, où plusieurs ouvrages sont en parallèle. Dans la note d'étude, on mentionnera la présence éventuelle de tels matériel, en rappelant leur justification, et les éventuelles caractéristiques dimensionnantes.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Dispositifs de régulation de transit
Plusieurs dispositifs permettent de réguler les flux de puissance dans un réseau maillé, où plusieurs ouvrages sont en parallèle. Dans la note d'étude, on mentionnera la présence éventuelle de tels matériel, en rappelant leur justification, et les éventuelles caractéristiques dimensionnantes."
29,Dispositifs de régulation de transit,"* [Le transformateur déphaseur](&A86) :
	* Généralement installé dans un des postes extrémité d'une liaison, le TD régule les flux de puissance en imposant un déphasage donné.
* [Les capacités série](&A84) :
	* Ce type de matériel régule les flux de puissance en diminuant l'impédance de l'ouvrage sur lequel il est en série, et permet d'améliorer la qualité de tension (limitation du réactif consommé dans l'ouvrage).
	* Il s'agit de batteries de condensateurs installées dans un des postes extrémités.
* [Les impédances série](&A84) :
	* Il s'agit de bobines d'inductance de compensation série d'une liaison généralement installée dans un des postes extrémités de cette liaison. Ce type de matériel peut être utile dans deux cas de figure :
		* Régulation des transits: en insérant une inductance en série avec un ouvrage, l'impédance globale de cet ouvrage est augmentée, ce qui reporte les transits sur les ouvrages en parallèle.
		* Limitation des courants de court-circuit : l'installation de réactance série sur le réseau augmente l'impédance entre les sources de tension et le réseau en aval de la réactance. Les courants de court-circuit sont ainsi réduits.
* [Les FACTS série](&A116) :
	* Ces systèmes à électronique de puissance permettent de faire de la régulation de transit avec une flexibilité accrue par rapport aux moyens de compensation classiques décrits ci-dessus.",DODER_capacites_des_ouvrages.md,"Fichier: DODER_capacites_des_ouvrages.md
Titre: Dispositifs de régulation de transit
* [Le transformateur déphaseur](&A86) :
	* Généralement installé dans un des postes extrémité d'une liaison, le TD régule les flux de puissance en imposant un déphasage donné.
* [Les capacités série](&A84) :
	* Ce type de matériel régule les flux de puissance en diminuant l'impédance de l'ouvrage sur lequel il est en série, et permet d'améliorer la qualité de tension (limitation du réactif consommé dans l'ouvrage).
	* Il s'agit de batteries de condensateurs installées dans un des postes extrémités.
* [Les impédances série](&A84) :
	* Il s'agit de bobines d'inductance de compensation série d'une liaison généralement installée dans un des postes extrémités de cette liaison. Ce type de matériel peut être utile dans deux cas de figure :
		* Régulation des transits: en insérant une inductance en série avec un ouvrage, l'impédance globale de cet ouvrage est augmentée, ce qui reporte les transits sur les ouvrages en parallèle.
		* Limitation des courants de court-circuit : l'installation de réactance série sur le réseau augmente l'impédance entre les sources de tension et le réseau en aval de la réactance. Les courants de court-circuit sont ainsi réduits.
* [Les FACTS série](&A116) :
	* Ces systèmes à électronique de puissance permettent de faire de la régulation de transit avec une flexibilité accrue par rapport aux moyens de compensation classiques décrits ci-dessus."
30,Capacités d'accueil des EnR dans le cadre d'un S3REnR,﻿# Capacités d'accueil du réseau,DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
﻿# Capacités d'accueil du réseau"
31,Capacités d'accueil des EnR dans le cadre d'un S3REnR,Le S3REnR de chaque région précise plusieurs valeurs :,DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Le S3REnR de chaque région précise plusieurs valeurs :"
32,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"* la capacité d'accueil globale du schéma correspond au gisement à raccorder. Il est égal aux objectifs du SRCAE minorés des EnR en service et en file d'attente (inclut le ≤100kVA).
* la capacité d'accueil par poste représente la capacité d'injection par poste que permet le S3REnR élaboré par les gestionnaires de réseau (inclut le ≤100kVA).
* la capacité réservée par poste est la capacité réservée par les GRD sur la base des capacités d'accueil prévues par RTE (qui exclut le ≤100kVA).",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
* la capacité d'accueil globale du schéma correspond au gisement à raccorder. Il est égal aux objectifs du SRCAE minorés des EnR en service et en file d'attente (inclut le ≤100kVA).
* la capacité d'accueil par poste représente la capacité d'injection par poste que permet le S3REnR élaboré par les gestionnaires de réseau (inclut le ≤100kVA).
* la capacité réservée par poste est la capacité réservée par les GRD sur la base des capacités d'accueil prévues par RTE (qui exclut le ≤100kVA)."
33,Capacités d'accueil des EnR dans le cadre d'un S3REnR,Toute ou partie de la capacité d'accueil par poste peut être réservée aux EnR.,DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Toute ou partie de la capacité d'accueil par poste peut être réservée aux EnR."
34,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"Cette capacité réservée est soit disponible de suite, soit disponible uniquement au fur et à mesure de la réalisation des ouvrages prévus dans le cadre du S3REnR.",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Cette capacité réservée est soit disponible de suite, soit disponible uniquement au fur et à mesure de la réalisation des ouvrages prévus dans le cadre du S3REnR."
35,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"La _capacité disponible réservée_ (CDR) reflète la capacité réelle du réseau, à un horizon N+2, à accueillir des EnR dans le cadre du S3REnR. Elle donne aux producteurs un signal de localisation et évolue en fonction du développement du réseau et de la [File d'Attente](&A30). La capacité disponible réservée est publiée le site institutionnel [Caparéseau.fr](&E110) uniquement pour les postes ayant une capacité réservée. Elle est plafonnée par cette dernière.",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
La _capacité disponible réservée_ (CDR) reflète la capacité réelle du réseau, à un horizon N+2, à accueillir des EnR dans le cadre du S3REnR. Elle donne aux producteurs un signal de localisation et évolue en fonction du développement du réseau et de la [File d'Attente](&A30). La capacité disponible réservée est publiée le site institutionnel [Caparéseau.fr](&E110) uniquement pour les postes ayant une capacité réservée. Elle est plafonnée par cette dernière."
36,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"D'autre part, la part non réservée de la capacité d'accueil appelée capacité disponible non réservée (CDNR) est accessible pour les producteurs non EnR ou utilisable pour réaliser des transferts de capacité réservée entre postes. Cette CDNR est également calculée et affichée sur Caparéseau.",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
D'autre part, la part non réservée de la capacité d'accueil appelée capacité disponible non réservée (CDNR) est accessible pour les producteurs non EnR ou utilisable pour réaliser des transferts de capacité réservée entre postes. Cette CDNR est également calculée et affichée sur Caparéseau."
37,Capacités d'accueil des EnR dans le cadre d'un S3REnR,Caparéseau doit être mis à jour mensuellement. La mise à jour concerne les données suivantes :,DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Caparéseau doit être mis à jour mensuellement. La mise à jour concerne les données suivantes :"
38,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"* Les productions de la file d’attente HTB (avant et après approbation du S3REnR), 
* les productions de la file d’attente HTB+HTA consolidée par RTE,
* les productions en service en HTB EnR d’une part, S3REnR d’autre part, 
* les travaux associés au dégagement de la capacité d’accueil pour les EnR,
* les capacités réservées modifiées (suite à transferts de capacité réservée, adaptation ou révision),
* les capacités d’accueil réservées disponibles vues du RPT (CDR),
* les capacités d’accueil disponibles non réservées vues du RPT (CDNR), pour les productions non EnR ou pour permettre des transferts de capacité réservée pour les productions EnR.",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
* Les productions de la file d’attente HTB (avant et après approbation du S3REnR), 
* les productions de la file d’attente HTB+HTA consolidée par RTE,
* les productions en service en HTB EnR d’une part, S3REnR d’autre part, 
* les travaux associés au dégagement de la capacité d’accueil pour les EnR,
* les capacités réservées modifiées (suite à transferts de capacité réservée, adaptation ou révision),
* les capacités d’accueil réservées disponibles vues du RPT (CDR),
* les capacités d’accueil disponibles non réservées vues du RPT (CDNR), pour les productions non EnR ou pour permettre des transferts de capacité réservée pour les productions EnR."
39,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"Les CDR et CDNR sont à calculer selon [cette méthodologie](&D38). Lors de la mise à disposition de chaque nouveau DOPLER, les CDR et CDNR sont à calculer sous CVG-CAPADAC impérativement. Lors des autres mises à jour, elles peuvent être calculées par décompte de la file d'attente pour les cas simples.",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Les CDR et CDNR sont à calculer selon [cette méthodologie](&D38). Lors de la mise à disposition de chaque nouveau DOPLER, les CDR et CDNR sont à calculer sous CVG-CAPADAC impérativement. Lors des autres mises à jour, elles peuvent être calculées par décompte de la file d'attente pour les cas simples."
40,Capacités d'accueil des EnR dans le cadre d'un S3REnR,"Pour faciliter les calculs, sous CVG-CAPADAC, [une macro d'export des données de Caparéseau vers CVG est fournie dans le SharePoint DOPLER](&E111). Elle transforme les données INFO_NA de Caparéseau correspondant aux CRNA (Capacités réservées non affectées) en un squelette de groupes fictifs sous CVG. Un mode opératoire est disponible dans le fichier de la macro.",DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Pour faciliter les calculs, sous CVG-CAPADAC, [une macro d'export des données de Caparéseau vers CVG est fournie dans le SharePoint DOPLER](&E111). Elle transforme les données INFO_NA de Caparéseau correspondant aux CRNA (Capacités réservées non affectées) en un squelette de groupes fictifs sous CVG. Un mode opératoire est disponible dans le fichier de la macro."
41,Capacités d'accueil des EnR dans le cadre d'un S3REnR,Les échanges de données pour le renseignement de Caparéseau sont encadrés par la [Convention technique de mise en oeuvre de la procédure de raccordement du RPD au RPT](&D45).,DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
Les échanges de données pour le renseignement de Caparéseau sont encadrés par la [Convention technique de mise en oeuvre de la procédure de raccordement du RPD au RPT](&D45)."
42,Capacités d'accueil des EnR dans le cadre d'un S3REnR,[Un outil de renseignement de Caparéseau est disponible dans le SharePoint DOPLER](&E112). Il s'agit d'une macro mettant en forme les données de la [File d'Attente](&A30) en les agrégeant pour Caparéseau et d'un tableur permettant de réaliser un contrôle de cohérence de l'ensemble des données renseignées dans Caparéseau.,DODER_capacites_d_accueil_du_reseau.md,"Fichier: DODER_capacites_d_accueil_du_reseau.md
Titre: Capacités d'accueil des EnR dans le cadre d'un S3REnR
[Un outil de renseignement de Caparéseau est disponible dans le SharePoint DOPLER](&E112). Il s'agit d'une macro mettant en forme les données de la [File d'Attente](&A30) en les agrégeant pour Caparéseau et d'un tableur permettant de réaliser un contrôle de cohérence de l'ensemble des données renseignées dans Caparéseau."
